Symbol,Category,Net Qty,Avg. Price,LTP,Current Value,Day P&L,Day %,Overall P&L,Overall %
ASAHIINDIA,NSE EQ,8,588.77,955.90,7647.20,-50.00,-0.65%,2937.04,62.36%
POLYCAB,NSE EQ,4,4458.46,9098.00,36392.00,176.00,0.49%,18558.16,104.06%
STEELXIND,NSE EQ,26,11.10,10.80,280.80,-2.60,-0.92%,-7.80,-2.70%
SCHAEFFLER,NSE EQ,9,3324.61,4014.00,36126.00,-57.60,-0.16%,6204.51,20.74%
COALINDIA,NSE EQ,8,373.76,404.00,3232.00,-23.20,-0.71%,241.92,8.09%
HINDCOPPER,NSE EQ,8,226.85,532.65,4261.20,-332.00,-7.23%,2446.40,134.80%
NMDC,NSE EQ,38,67.24,85.94,3265.72,1.52,0.05%,710.60,27.81%
CDSL,NSE EQ,11,980.04,1394.80,15342.80,106.70,0.70%,4562.36,42.32%
JINDALSTEL,NSE EQ,8,841.80,1154.10,9232.80,40.80,0.44%,2498.40,37.10%
POWERGRID,NSE EQ,10,263.64,271.00,2710.00,-4.00,-0.15%,73.60,2.79%
NFL,NSE EQ,11,102.98,72.40,796.40,17.71,2.27%,-336.38,-29.70%
ARE&M,NSE EQ,18,934.99,920.85,16575.30,-35.10,-0.21%,-254.52,-1.51%
IRCON,NSE EQ,30,160.73,123.35,3700.50,7.50,0.20%,-1121.40,-23.26%
SILVERBEES,NSE EQ,28,183.12,229.00,6412.00,-78.40,-1.21%,1284.64,25.05%
LT,NSE EQ,7,3239.67,4119.00,28833.00,203.00,0.71%,6155.31,27.14%
HINDALCO,NSE EQ,8,553.10,1051.05,8408.40,-59.60,-0.70%,3983.60,90.03%
HDFCBANK,NSE EQ,18,780.41,727.50,13095.00,-27.00,-0.21%,-952.38,-6.78%
EMBASSY,NSE RR,8,351.01,435.22,3481.76,-1.92,-0.06%,673.68,23.99%
BALAMINES,NSE EQ,17,1814.40,2343.60,39841.20,2024.70,5.35%,8996.40,29.17%
SBIN,NSE EQ,8,746.53,1048.00,8384.00,68.00,0.82%,2411.76,40.38%
HAL,NSE EQ,6,2470.52,4900.00,29400.00,-36.00,-0.12%,14576.88,98.34%
TATASTEEL,NSE EQ,9,132.86,186.94,1682.46,5.76,0.34%,486.72,40.70%
CHAMBLFERT,NSE EQ,20,419.75,427.60,8552.00,-67.00,-0.78%,157.00,1.87%
RENUKA,NSE EQ,20,39.26,24.67,493.40,-16.00,-3.14%,-291.80,-37.16%
TATACHEM,NSE EQ,9,998.66,626.35,5637.15,-5.40,-0.10%,-3350.79,-37.28%
MAPMYINDIA,NSE EQ,8,1990.19,964.30,7714.40,20.80,0.27%,-8207.12,-51.55%
MINDSPACE,NSE RR,8,340.31,494.38,3955.04,-18.96,-0.48%,1232.56,45.27%
M&M,NSE EQ,4,1628.47,3443.00,13772.00,115.60,0.85%,7258.12,111.43%
CONCOR,NSE EQ,33,595.85,516.00,17028.00,-13.20,-0.08%,-2635.05,-13.40%
GNFC,NSE EQ,24,552.22,588.00,14112.00,-120.00,-0.84%,858.72,6.48%
SAIL,NSE EQ,8,113.01,184.59,1476.72,39.52,2.75%,572.64,63.34%
BALRAMCHIN,NSE EQ,13,466.24,668.10,8685.30,-356.20,-3.94%,2624.18,43.30%
EIDPARRY,NSE EQ,8,668.70,810.40,6483.20,-108.40,-1.64%,1133.60,21.19%
NATIONALUM,NSE EQ,19,266.88,397.80,7558.20,-104.50,-1.36%,2487.48,49.06%
ITC,NSE EQ,10,399.47,271.40,2714.00,17.00,0.63%,-1280.70,-32.06%
TMPV,NSE EQ,11,577.23,314.25,3456.75,-1.65,-0.05%,-2892.78,-45.56%
NDTV,NSE EQ,14,170.60,74.97,1049.58,-2.38,-0.23%,-1338.82,-56.06%
COROMANDEL,NSE EQ,5,1223.56,1913.60,9568.00,-65.00,-0.67%,3450.20,56.40%
BDL,NSE EQ,9,851.61,1359.90,12239.10,-72.90,-0.59%,4574.61,59.69%
TATACONSUM,NSE EQ,7,1067.24,1060.50,7423.50,-14.00,-0.19%,-47.18,-0.63%
TMCV,NSE EQ,11,261.16,474.90,5223.90,-1.65,-0.03%,2351.14,81.84%
TATAPOWER,NSE EQ,9,351.79,370.60,3335.40,-26.10,-0.78%,169.29,5.35%
HINDMOTORS,BSE X,14,29.43,14.52,203.28,-2.10,-1.02%,-208.74,-50.66%
HINDZINC,NSE EQ,18,519.24,592.60,10666.80,-205.20,-1.89%,1320.48,14.13%
EXIDEIND,NSE EQ,8,362.19,448.75,3590.00,-36.40,-1.00%,692.48,23.90%
PIDILITIND,NSE EQ,12,1372.04,1651.10,19813.20,-106.80,-0.54%,3348.72,20.34%
IRCTC,NSE EQ,11,842.65,482.55,5308.05,-6.60,-0.12%,-3961.10,-42.73%
BASF,NSE EQ,5,3554.35,3886.00,19430.00,37.00,0.19%,1658.25,9.33%
BHARTIARTL,NSE EQ,4,1071.05,1947.00,7788.00,48.00,0.62%,3503.80,81.78%
SUNTV,NSE EQ,9,628.58,468.90,4220.10,1.35,0.03%,-1437.12,-25.40%
